Name,Year,Genre,Platform,Publisher,Global_Sales
FIFA Soccer 13,2012.0,Action,PS3,Electronic Arts,8.24
The Sims 3,2009.0,Simulation,PC,Electronic Arts,8.11
GoldenEye 007,1997.0,Shooter,N64,Nintendo,8.09
Mario & Sonic at the Olympic Games,2007.0,Sports,Wii,Sega,8.06
Final Fantasy X,2001.0,Role-Playing,PS2,Sony Computer Entertainment,8.05
Final Fantasy VIII,1999.0,Role-Playing,PS,SquareSoft,7.86
Pokémon Platinum Version,2008.0,Role-Playing,DS,Nintendo,7.84
Pac-Man,1982.0,Puzzle,2600,Atari,7.81
Grand Theft Auto: Liberty City Stories,2005.0,Action,PSP,Take-Two Interactive,7.72
Super Mario Galaxy 2,2010.0,Platform,Wii,Nintendo,7.69
Star Wars Battlefront (2015),2015.0,Shooter,PS4,Electronic Arts,7.67
Call of Duty: Advanced Warfare,2014.0,Shooter,PS4,Activision,7.6
The Legend of Zelda: Ocarina of Time,1998.0,Action,N64,Nintendo,7.6
Crash Bandicoot 2: Cortex Strikes Back,1997.0,Platform,PS,Sony Computer Entertainment,7.58
Super Mario Bros. 2,1988.0,Platform,NES,Nintendo,7.46
Super Smash Bros. for Wii U and 3DS,2014.0,Fighting,3DS,Nintendo,7.45
Call of Duty: World at War,2008.0,Shooter,X360,Activision,7.37
Battlefield 3,2011.0,Shooter,X360,Electronic Arts,7.34
The Legend of Zelda: Twilight Princess,2006.0,Action,Wii,Nintendo,7.31
Call of Duty: Black Ops 3,2015.0,Shooter,XOne,Activision,7.3
Just Dance,2009.0,Misc,Wii,Ubisoft,7.27
Battlefield 3,2011.0,Shooter,PS3,Electronic Arts,7.23
Need for Speed Underground,2003.0,Racing,PS2,Electronic Arts,7.2
Tekken 3,1998.0,Fighting,PS,Sony Computer Entertainment,7.16
Crash Bandicoot 3: Warped,1998.0,Platform,PS,Sony Computer Entertainment,7.13
Super Smash Bros. Melee,2001.0,Fighting,GC,Nintendo,7.07
Mario Kart 8,2014.0,Racing,WiiU,Nintendo,6.96
Fallout 4,2015.0,Role-Playing,PS4,Bethesda Softworks,6.96
Mario Kart: Double Dash!!,2003.0,Racing,GC,Nintendo,6.95
Just Dance 4,2012.0,Misc,Wii,Ubisoft,6.91
FIFA 14,2013.0,Sports,PS3,Electronic Arts,6.9
Need for Speed Underground 2,2004.0,Racing,PS2,Electronic Arts,6.9
Medal of Honor: Frontline,2002.0,Shooter,PS2,Electronic Arts,6.83
Uncharted 3: Drake's Deception,2011.0,Action,PS3,Sony Computer Entertainment,6.83
Crash Bandicoot,1996.0,Platform,PS,Sony Computer Entertainment,6.82
Zumba Fitness,2010.0,Sports,Wii,505 Games,6.81
Gears of War 2,2008.0,Shooter,X360,Microsoft Game Studios,6.76
Uncharted 2: Among Thieves,2009.0,Action,PS3,Sony Computer Entertainment,6.73
Call of Duty 4: Modern Warfare,2007.0,Shooter,PS3,Activision,6.72
FIFA 12,2011.0,Sports,PS3,Electronic Arts,6.69
Big Brain Academy,2005.0,Misc,DS,Nintendo,6.67
Red Dead Redemption,2010.0,Action,PS3,Take-Two Interactive,6.6
FIFA 15,2014.0,Sports,PS4,Electronic Arts,6.59
Donkey Kong Country Returns,2010.0,Platform,Wii,Nintendo,6.59
The Elder Scrolls V: Skyrim,2011.0,Role-Playing,PS3,Bethesda Softworks,6.56
The Legend of Zelda,1986.0,Action,NES,Nintendo,6.51
Assassin's Creed III,2012.0,Action,PS3,Ubisoft,6.5
Halo: Combat Evolved,2001.0,Shooter,XB,Microsoft Game Studios,6.43
Pokémon Emerald Version,2004.0,Role-Playing,GBA,Nintendo,6.41
Kingdom Hearts,2002.0,Role-Playing,PS2,Sony Computer Entertainment,6.4
Pokémon Crystal Version,2000.0,Role-Playing,GB,Nintendo,6.39
Halo 3: ODST,2009.0,Shooter,X360,Microsoft Game Studios,6.36
Red Dead Redemption,2010.0,Action,X360,Take-Two Interactive,6.34
Super Mario Sunshine,2002.0,Platform,GC,Nintendo,6.31
Street Fighter II: The World Warrior,1992.0,Fighting,SNES,Capcom,6.3
World of Warcraft,2004.0,Role-Playing,PC,Activision,6.28
Driver,1999.0,Action,PS,GT Interactive,6.27
Kinect Sports,2010.0,Sports,X360,Microsoft Game Studios,6.24
Gears of War 3,2011.0,Shooter,X360,Microsoft Game Studios,6.24
Gears of War,2006.0,Shooter,X360,Microsoft Game Studios,6.11
Metal Gear Solid 2: Sons of Liberty,2001.0,Action,PS2,Konami Digital Entertainment,6.05
Sonic the Hedgehog 2,1992.0,Platform,GEN,Sega,6.03
Metal Gear Solid 4: Guns of the Patriots,2008.0,Action,PS3,Konami Digital Entertainment,6.03
Metal Gear Solid,1998.0,Action,PS,Konami Digital Entertainment,6.03
The Last of Us,2013.0,Action,PS3,Sony Computer Entertainment Europe,5.99
Final Fantasy XII,2006.0,Role-Playing,PS2,Square Enix,5.95
LittleBigPlanet,2008.0,Platform,PS3,Sony Computer Entertainment,5.92
Dragon Quest IX: Sentinels of the Starry Skies,2009.0,Role-Playing,DS,Nintendo,5.84
LEGO Star Wars: The Complete Saga,2007.0,Action,Wii,LucasArts,5.83
Resident Evil 2,1998.0,Action,PS,Virgin Interactive,5.82
Tekken 2,1996.0,Fighting,PS,Sony Computer Entertainment,5.74
Cooking Mama,2006.0,Simulation,DS,505 Games,5.72
Destiny,2014.0,Shooter,PS4,Activision,5.65
Tetris,1988.0,Puzzle,NES,Nintendo,5.58
Assassin's Creed II,2009.0,Action,PS3,Ubisoft,5.57
Super Smash Bros.,1999.0,Fighting,N64,Nintendo,5.55
Assassin's Creed,2007.0,Adventure,X360,Ubisoft,5.55
Batman: Arkham City,2011.0,Action,PS3,Warner Bros. Interactive Entertainment,5.53
Forza Motorsport 3,2009.0,Racing,X360,Microsoft Game Studios,5.51
Monster Hunter Freedom Unite,2008.0,Role-Playing,PSP,Capcom,5.5
Super Mario Advance,2001.0,Platform,GBA,Nintendo,5.49
Mario Kart: Super Circuit,2001.0,Racing,GBA,Nintendo,5.47
Super Mario World,2001.0,Platform,GBA,Nintendo,5.46
Pokemon Stadium,1999.0,Strategy,N64,Nintendo,5.45
Call of Duty: World at War,2008.0,Shooter,PS3,Activision,5.43
Crash Bandicoot: The Wrath of Cortex,2001.0,Platform,PS2,Universal Interactive,5.42
Minecraft,2014.0,Misc,PS3,Sony Computer Entertainment,5.42
Final Fantasy XIII,2009.0,Role-Playing,PS3,Square Enix,5.36
Dr. Mario,1989.0,Puzzle,GB,Nintendo,5.34
Pokemon Pinball,1999.0,Misc,GB,Nintendo,5.31
Assassin's Creed III,2012.0,Action,X360,Ubisoft,5.3
Final Fantasy IX,2000.0,Role-Playing,PS,SquareSoft,5.3
Final Fantasy X-2,2003.0,Role-Playing,PS2,Electronic Arts,5.29
Donkey Kong 64,1999.0,Platform,N64,Nintendo,5.27
Assassin's Creed II,2009.0,Action,X360,Ubisoft,5.27
Professor Layton and the Curious Village,2007.0,Puzzle,DS,Nintendo,5.26
Tomb Raider II,1997.0,Action,PS,Eidos Interactive,5.24
Dragon Quest VIII: Journey of the Cursed King,2004.0,Role-Playing,PS2,Square Enix,5.21
Diablo III,2012.0,Role-Playing,PC,Activision,5.2
Super Mario Bros. 3,2003.0,Platform,GBA,Nintendo,5.2
New Super Mario Bros. U,2012.0,Platform,WiiU,Nintendo,5.19
Super Mario Land 3: Wario Land,1994.0,Platform,GB,Nintendo,5.19
FIFA Soccer 13,2012.0,Action,X360,Electronic Arts,5.18
The Legend of Zelda: Phantom Hourglass,2007.0,Action,DS,Nintendo,5.17
Donkey Kong Country 2: Diddy's Kong Quest,1995.0,Platform,SNES,Nintendo,5.15
Tomodachi Life,2013.0,Simulation,3DS,Nintendo,5.15
Mario & Sonic at the Olympic Games,2008.0,Sports,DS,Sega,5.14
Medal of Honor: Rising Sun,2003.0,Shooter,PS2,Electronic Arts,5.13
Kirby's Dream Land,1992.0,Platform,GB,Nintendo,5.13
Fable III,2010.0,Role-Playing,X360,Microsoft Game Studios,5.13
Call of Duty: Advanced Warfare,2014.0,Shooter,XOne,Activision,5.13
Microsoft Flight Simulator,1996.0,Simulation,PC,Microsoft Game Studios,5.12
Guitar Hero II,2006.0,Misc,PS2,RedOctane,5.12
Resident Evil 5,2009.0,Action,PS3,Capcom,5.11
Grand Theft Auto V,2014.0,Action,XOne,Take-Two Interactive,5.08
Grand Theft Auto: Vice City Stories,2006.0,Action,PSP,Take-Two Interactive,5.08
FIFA Soccer 11,2010.0,Sports,PS3,Electronic Arts,5.08
Super Mario Bros.,1999.0,Platform,GB,Nintendo,5.07
Resident Evil,1996.0,Action,PS,Virgin Interactive,5.05
Tony Hawk's Pro Skater,1999.0,Sports,PS,Activision,5.02
Super Smash Bros. for Wii U and 3DS,2014.0,Fighting,WiiU,Nintendo,5.02
Warzone 2100,1999.0,Strategy,PS,Eidos Interactive,5.01
Spyro the Dragon,1998.0,Platform,PS,Sony Computer Entertainment,5.0
Link's Crossbow Training,2007.0,Shooter,Wii,Nintendo,5.0
Guitar Hero III: Legends of Rock,2007.0,Misc,PS2,Activision,4.98
Fallout 3,2008.0,Role-Playing,X360,Bethesda Softworks,4.96
Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,2007.0,Role-Playing,DS,Nintendo,4.96
Uncharted: Drake's Fortune,2007.0,Action,PS3,Sony Computer Entertainment,4.94
Madden NFL 06,2005.0,Sports,PS2,Electronic Arts,4.91
LEGO Star Wars: The Complete Saga,2007.0,Action,DS,LucasArts,4.9
Diddy Kong Racing,1997.0,Racing,N64,Nintendo,4.88
Monster Hunter Freedom 3,2010.0,Role-Playing,PSP,Capcom,4.87
Dr. Mario,1990.0,Puzzle,NES,Nintendo,4.85
God of War III,2010.0,Action,PS3,Sony Computer Entertainment,4.84
StarCraft II: Wings of Liberty,2010.0,Strategy,PC,Activision,4.83
Assassin's Creed,2007.0,Adventure,PS3,Ubisoft,4.83
FIFA 15,2014.0,Sports,PS3,Electronic Arts,4.82
Crash Team Racing,1999.0,Racing,PS,Sony Computer Entertainment,4.79
FIFA 17,2016.0,Sports,PS4,Electronic Arts,4.77
Batman: Arkham City,2011.0,Action,X360,Warner Bros. Interactive Entertainment,4.76
Driver 2,2000.0,Action,PS,Atari,4.73
The Simpsons: Hit & Run,2003.0,Racing,PS2,Vivendi Games,4.7
Tony Hawk's Pro Skater 2,2000.0,Sports,PS,Activision,4.68
Animal Crossing: City Folk,2008.0,Simulation,Wii,Nintendo,4.68
The Lord of the Rings: The Two Towers,2002.0,Action,PS2,Electronic Arts,4.67
Forza Motorsport 4,2011.0,Racing,X360,Microsoft Game Studios,4.64
Tomb Raider,1996.0,Action,PS,Eidos Interactive,4.63
Guitar Hero III: Legends of Rock,2007.0,Misc,Wii,Activision,4.62
The Legend of Zelda: A Link to the Past,1991.0,Action,SNES,Nintendo,4.61
The Legend of Zelda: The Wind Waker,2002.0,Action,GC,Nintendo,4.6
Mario & Sonic at the Olympic Winter Games,2009.0,Sports,Wii,Sega,4.58
Luigi's Mansion: Dark Moon,2013.0,Action,3DS,Nintendo,4.58
Splatoon,2015.0,Shooter,WiiU,Nintendo,4.57
The Last of Us,2014.0,Action,PS4,Sony Computer Entertainment,4.55
Guitar Hero III: Legends of Rock,2007.0,Misc,X360,Activision,4.53
Madden NFL 2005,2004.0,Sports,PS2,Electronic Arts,4.53
Pitfall!,1981.0,Platform,2600,Activision,4.5
Madden NFL 07,2006.0,Sports,PS2,Electronic Arts,4.49
Spider-Man: The Movie,2002.0,Action,PS2,Activision,4.48
Dragon Quest VII: Warriors of Eden,2000.0,Role-Playing,PS,Enix Corporation,4.47
Uncharted: The Nathan Drake Collection,2015.0,Action,PS4,Sony Computer Entertainment,4.47
Call of Duty: Advanced Warfare,2014.0,Shooter,PS3,Activision,4.45
God of War,2005.0,Action,PS2,Sony Computer Entertainment,4.45
Nintendo Land,2012.0,Misc,WiiU,Nintendo,4.44
Michael Jackson: The Experience,2010.0,Misc,Wii,Ubisoft,4.42
Tony Hawk's Pro Skater 3,2001.0,Sports,PS2,Activision,4.41
Winning Eleven: Pro Evolution Soccer 2007,2006.0,Sports,PS2,Konami Digital Entertainment,4.39
The Elder Scrolls IV: Oblivion,2006.0,Role-Playing,X360,Take-Two Interactive,4.39
Zelda II: The Adventure of Link,1987.0,Adventure,NES,Nintendo,4.38
Need for Speed: Most Wanted,2005.0,Racing,PS2,Electronic Arts,4.37
Resistance: Fall of Man,2006.0,Shooter,PS3,Sony Computer Entertainment,4.35
Sonic the Hedgehog,1991.0,Platform,GEN,Sega,4.34
Kingdom Hearts II,2005.0,Role-Playing,PS2,Square Enix,4.33
FIFA 14,2013.0,Sports,X360,Electronic Arts,4.31
Call of Duty: Advanced Warfare,2014.0,Shooter,X360,Activision,4.31
Asteroids,1980.0,Shooter,2600,Atari,4.31
Fable II,2008.0,Role-Playing,X360,Microsoft Game Studios,4.31
Halo 5: Guardians,2015.0,Shooter,XOne,Microsoft Game Studios,4.26
Super Mario 3D World,2013.0,Platform,WiiU,Nintendo,4.25
Batman: Arkham Asylum,2009.0,Action,PS3,Eidos Interactive,4.25
Assassin's Creed: Revelations,2011.0,Action,PS3,Ubisoft,4.24
Namco Museum,2001.0,Misc,GBA,Namco Bandai Games,4.24
Metal Gear Solid 3: Snake Eater,2004.0,Action,PS2,Konami Digital Entertainment,4.23
Daxter,2006.0,Platform,PSP,Sony Computer Entertainment,4.22
Warcraft II: Tides of Darkness,1995.0,Strategy,PC,Activision,4.21
The Legend of Zelda: Ocarina of Time,2011.0,Action,3DS,Nintendo,4.21
FIFA Soccer 06,2005.0,Sports,PS2,Electronic Arts,4.21
EyeToy Play,2003.0,Misc,PS2,Sony Computer Entertainment,4.2
Uncharted 4: A Thief's End,2016.0,Shooter,PS4,Sony Computer Entertainment,4.2
Gran Turismo 5 Prologue,2007.0,Racing,PS3,Sony Computer Entertainment,4.2
Assassin's Creed: Revelations,2011.0,Action,X360,Ubisoft,4.19
Street Fighter IV,2009.0,Fighting,PS3,Capcom,4.19
FIFA 12,2011.0,Sports,X360,Electronic Arts,4.19
Teenage Mutant Ninja Turtles,1989.0,Action,NES,Palcom,4.17
Excitebike,1984.0,Racing,NES,Nintendo,4.16
Frogger,1997.0,Action,PS,Hasbro Interactive,4.16
Madden NFL 2003,2002.0,Sports,PS2,Electronic Arts,4.14
Watch Dogs,2014.0,Action,PS4,Ubisoft,4.14
Half-Life,1997.0,Shooter,PC,Vivendi Games,4.12
Super Mario World 2: Yoshi's Island,1995.0,Platform,SNES,Nintendo,4.12
FIFA Soccer 07,2006.0,Sports,PS2,Electronic Arts,4.11
The Legend of Zelda: Skyward Sword,2011.0,Action,Wii,Nintendo,4.1
Street Fighter II Turbo,1992.0,Fighting,SNES,Capcom,4.1
Carnival Games,2007.0,Misc,Wii,Take-Two Interactive,4.1
Fallout 4,2015.0,Role-Playing,XOne,Bethesda Softworks,4.09
World of Warcraft: The Burning Crusade,2007.0,Role-Playing,PC,Activision,4.09
Fallout: New Vegas,2010.0,Role-Playing,X360,Bethesda Softworks,4.08
God of War II,2007.0,Action,PS2,Sony Computer Entertainment,4.07
Forza Motorsport 2,2007.0,Racing,X360,Microsoft Game Studios,4.06
World Soccer Winning Eleven 9,2005.0,Sports,PS2,Konami Digital Entertainment,4.06
Namco Museum Vol.3,1996.0,Misc,PS,Sony Computer Entertainment,4.05
Tekken Tag Tournament,2000.0,Fighting,PS2,Namco Bandai Games,4.05
Far Cry 4,2014.0,Shooter,PS4,Ubisoft,4.03
Star Fox 64,1997.0,Shooter,N64,Nintendo,4.03
Minecraft,2014.0,Misc,PS4,Sony Computer Entertainment Europe,4.02
Golf,1984.0,Sports,NES,Nintendo,4.01
Fallout 3,2008.0,Role-Playing,PS3,Bethesda Softworks,4.01
Professor Layton and the Diabolical Box,2007.0,Puzzle,DS,Nintendo,4.0
Left 4 Dead 2,2009.0,Shooter,X360,Electronic Arts,3.99
Namco Museum: 50th Anniversary,2005.0,Misc,PS2,Namco Bandai Games,3.98
EA Sports Active,2009.0,Sports,Wii,Electronic Arts,3.92
Assassin's Creed: Unity,2014.0,Action,PS4,Ubisoft,3.92
Donkey Kong Land,1994.0,Platform,GB,Nintendo,3.91
Tony Hawk's Underground,2003.0,Sports,PS2,Activision,3.9
Assassin's Creed IV: Black Flag,2013.0,Action,PS3,Ubisoft,3.89
Monster Hunter 4 Ultimate,2014.0,Role-Playing,3DS,Nintendo,3.89
MotorStorm,2006.0,Racing,PS3,Sony Computer Entertainment,3.88
The Elder Scrolls V: Skyrim,2011.0,Role-Playing,PC,Bethesda Softworks,3.88
Tekken 5,2005.0,Fighting,PS2,Namco Bandai Games,3.87
Dragon Warrior III,1988.0,Role-Playing,NES,Enix Corporation,3.87
Sports Champions,2010.0,Sports,PS3,Sony Computer Entertainment,3.87
NBA 2K16,2015.0,Sports,PS4,Take-Two Interactive,3.85
World Soccer Winning Eleven 8 International,2004.0,Sports,PS2,Konami Digital Entertainment,3.85
Flash Focus: Vision Training in Minutes a Day,2007.0,Misc,DS,Nintendo,3.84
Namco Museum Vol.1,1995.0,Misc,PS,Sony Computer Entertainment,3.84
The Legend of Zelda: Link's Awakening,1992.0,Action,GB,Nintendo,3.83
Mario & Luigi: Bowser's Inside Story,2009.0,Role-Playing,DS,Nintendo,3.83
Big Brain Academy: Wii Degree,2007.0,Misc,Wii,Nintendo,3.82
Nintendogs + cats,2011.0,Simulation,3DS,Nintendo,3.81
Batman: Arkham Knight,2015.0,Action,PS4,Warner Bros. Interactive Entertainment,3.79
Mario & Sonic at the London 2012 Olympic Games,2011.0,Sports,Wii,Sega,3.78
LEGO Indiana Jones: The Original Adventures,2008.0,Action,X360,Activision,3.78
Resident Evil Director's Cut,1996.0,Action,PS,Virgin Interactive,3.77
Ratchet & Clank: Size Matters,2007.0,Platform,PSP,Sony Computer Entertainment,3.77
Just Dance 2014,2013.0,Misc,Wii,Ubisoft,3.76
The Sims: Unleashed,2002.0,Simulation,PC,Electronic Arts,3.76
Super Paper Mario,2007.0,Platform,Wii,Nintendo,3.76
Harry Potter and the Sorcerer's Stone,2001.0,Action,PS,Electronic Arts,3.73
The Witcher 3: Wild Hunt,2015.0,Role-Playing,PS4,Namco Bandai Games,3.73
Resident Evil 3: Nemesis,1999.0,Action,PS,Eidos Interactive,3.72
Spyro: Year of the Dragon,2000.0,Platform,PS,Sony Computer Entertainment,3.71
FIFA Soccer 2005,2004.0,Sports,PS2,Electronic Arts,3.7
Pokémon Trading Card Game,1998.0,Strategy,GB,Nintendo,3.7
Battlefield 4,2013.0,Shooter,PS3,Electronic Arts,3.69
MySims,2007.0,Simulation,DS,Electronic Arts,3.69
Friend Collection,2009.0,Misc,DS,Nintendo,3.67
Tony Hawk's Pro Skater 4,2002.0,Sports,PS2,Activision,3.67
Midnight Club 3: DUB Edition,2005.0,Racing,PSP,Take-Two Interactive,3.66
Banjo-Kazooie,1998.0,Platform,N64,Nintendo,3.65
SOCOM: U.S. Navy SEALs,2002.0,Shooter,PS2,Sony Computer Entertainment,3.65
Guitar Hero: World Tour,2008.0,Misc,Wii,Activision,3.65
Gran Turismo 6,2013.0,Racing,PS3,Sony Computer Entertainment,3.64
Jak and Daxter: The Precursor Legacy,2001.0,Platform,PS2,Sony Computer Entertainment,3.64
Pokemon Snap,1999.0,Simulation,N64,Nintendo,3.63
FIFA Soccer 10,2009.0,Sports,PS3,Electronic Arts,3.63
Pro Evolution Soccer 2008,2007.0,Sports,PS2,Konami Digital Entertainment,3.63
Call of Duty: Ghosts,2013.0,Shooter,PS4,Activision,3.63
Resident Evil 4,2005.0,Action,PS2,Capcom,3.62
Tom Clancy's The Division,2016.0,Shooter,PS4,Ubisoft,3.61
Star Wars: Battlefront,2004.0,Shooter,PS2,LucasArts,3.61
Doom II: Hell on Earth,1994.0,Shooter,PC,Virgin Interactive,3.61
The Simpsons: Road Rage,2001.0,Racing,PS2,Electronic Arts,3.61
Cooking Mama 2: Dinner With Friends,2007.0,Simulation,DS,505 Games,3.61
Luigi's Mansion,2001.0,Action,GC,Nintendo,3.6
Star Wars: Battlefront II,2005.0,Shooter,PS2,LucasArts,3.59
WWF SmackDown!,2000.0,Fighting,PS,THQ,3.58
Croc: Legend of the Gobbos,1997.0,Platform,PS,Fox Interactive,3.56
Grand Theft Auto: Liberty City Stories,2006.0,Action,PS2,Take-Two Interactive,3.54
The Getaway,2002.0,Action,PS2,Sony Computer Entertainment,3.54
Tomb Raider III: Adventures of Lara Croft,1997.0,Action,PS,Eidos Interactive,3.54
James Bond 007: Agent Under Fire,2001.0,Shooter,PS2,Electronic Arts,3.53
LEGO Star Wars: The Video Game,2005.0,Action,PS2,Eidos Interactive,3.53
Battlefield 4,2013.0,Shooter,X360,Electronic Arts,3.53
FIFA Soccer 11,2010.0,Sports,X360,Electronic Arts,3.53
Rugrats in Paris: The Movie,2000.0,Action,PS,THQ,3.52
Spyro 2: Ripto's Rage!,1999.0,Platform,PS,Sony Computer Entertainment,3.52
Left 4 Dead,2008.0,Shooter,X360,Electronic Arts,3.52
Mario & Sonic at the Olympic Winter Games,2009.0,Sports,DS,Sega,3.52
Resident Evil 5,2009.0,Action,X360,Capcom,3.51
Donkey Kong Country 3: Dixie Kong's Double Trouble!,1996.0,Platform,SNES,Nintendo,3.51
Assassin's Creed: Brotherhood,2010.0,Action,X360,Ubisoft,3.5
Kung Fu,1985.0,Action,NES,Nintendo,3.5
Batman: Arkham Asylum,2009.0,Action,X360,Eidos Interactive,3.5
Clubhouse Games,2006.0,Misc,DS,Nintendo,3.5
Star Wars Battlefront (2015),2015.0,Shooter,XOne,Electronic Arts,3.49
Battlefield: Bad Company 2,2010.0,Shooter,X360,Electronic Arts,3.48
